,columns,missing values count
108,Sensor - 109,101
109,Sensor - 110,6081
110,Sensor - 111,6081
111,Sensor - 112,6081
112,Sensor - 113,12048
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,552
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,69
122,Sensor - 123,69
123,Sensor - 124,69
124,Sensor - 125,69
125,Sensor - 126,69
126,Sensor - 127,69
127,Sensor - 128,69
128,Sensor - 129,69
129,Sensor - 130,69
130,Sensor - 131,69
131,Sensor - 132,69
132,Sensor - 133,69
133,Sensor - 134,69
134,Sensor - 135,69
135,Sensor - 136,0
136,Sensor - 137,21
137,Sensor - 138,63
138,Sensor - 139,274
139,Sensor - 140,274
140,Sensor - 141,274
141,Sensor - 142,274
142,Sensor - 143,274
143,Sensor - 144,177
144,Sensor - 145,46
145,Sensor - 146,46
146,Sensor - 147,46
147,Sensor - 148,46
148,Sensor - 149,46
149,Sensor - 150,69
150,Sensor - 151,69
151,Sensor - 152,69
152,Sensor - 153,69
153,Sensor - 154,69
154,Sensor - 155,69
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,16584
158,Sensor - 159,16584
159,Sensor - 160,19
160,Sensor - 161,19
161,Sensor - 162,19
162,Sensor - 163,19
163,Sensor - 164,19
164,Sensor - 165,19
165,Sensor - 166,19
166,Sensor - 167,19
167,Sensor - 168,19
168,Sensor - 169,19
169,Sensor - 170,19
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,314
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,21
191,Sensor - 192,21
192,Sensor - 193,21
193,Sensor - 194,21
194,Sensor - 195,21
195,Sensor - 196,21
196,Sensor - 197,108
197,Sensor - 198,108
198,Sensor - 199,108
199,Sensor - 200,108
200,Sensor - 201,108
201,Sensor - 202,108
202,Sensor - 203,108
203,Sensor - 204,108
204,Sensor - 205,108
205,Sensor - 206,108
206,Sensor - 207,108
207,Sensor - 208,108
208,Sensor - 209,108
209,Sensor - 210,108
210,Sensor - 211,552
211,Sensor - 212,552
212,Sensor - 213,552
213,Sensor - 214,552
214,Sensor - 215,552
215,Sensor - 216,552
216,Sensor - 217,552
217,Sensor - 218,552
218,Sensor - 219,23
219,Sensor - 220,40
220,Sensor - 221,13183
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,1073
225,Sensor - 226,1073
226,Sensor - 227,101
227,Sensor - 228,44
228,Sensor - 229,44
229,Sensor - 230,101
230,Sensor - 231,101
231,Sensor - 232,101
232,Sensor - 233,101
233,Sensor - 234,101
234,Sensor - 235,101
235,Sensor - 236,101
236,Sensor - 237,101
237,Sensor - 238,101
238,Sensor - 239,44
239,Sensor - 240,44
240,Sensor - 241,101
241,Sensor - 242,101
242,Sensor - 243,101
243,Sensor - 244,101
244,Sensor - 245,6081
245,Sensor - 246,6081
246,Sensor - 247,6081
247,Sensor - 248,12048
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,552
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,69
257,Sensor - 258,69
258,Sensor - 259,69
259,Sensor - 260,69
260,Sensor - 261,69
261,Sensor - 262,69
262,Sensor - 263,69
263,Sensor - 264,69
264,Sensor - 265,69
265,Sensor - 266,69
266,Sensor - 267,69
267,Sensor - 268,69
268,Sensor - 269,69
269,Sensor - 270,69
270,Sensor - 271,0
271,Sensor - 272,21
272,Sensor - 273,63
273,Sensor - 274,274
274,Sensor - 275,274
275,Sensor - 276,274
276,Sensor - 277,274
277,Sensor - 278,274
278,Sensor - 279,177
279,Sensor - 280,46
280,Sensor - 281,46
281,Sensor - 282,46
282,Sensor - 283,46
283,Sensor - 284,46
284,Sensor - 285,69
285,Sensor - 286,69
286,Sensor - 287,69
287,Sensor - 288,69
288,Sensor - 289,69
289,Sensor - 290,69
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,16584
293,Sensor - 294,16584
294,Sensor - 295,19
295,Sensor - 296,19
296,Sensor - 297,19
297,Sensor - 298,19
298,Sensor - 299,19
299,Sensor - 300,19
300,Sensor - 301,19
301,Sensor - 302,19
302,Sensor - 303,19
303,Sensor - 304,19
304,Sensor - 305,19
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,314
314,Sensor - 315,314
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,21
327,Sensor - 328,21
328,Sensor - 329,21
329,Sensor - 330,21
330,Sensor - 331,21
331,Sensor - 332,21
332,Sensor - 333,108
333,Sensor - 334,108
334,Sensor - 335,108
335,Sensor - 336,108
336,Sensor - 337,108
337,Sensor - 338,108
338,Sensor - 339,108
339,Sensor - 340,108
340,Sensor - 341,108
341,Sensor - 342,108
342,Sensor - 343,108
343,Sensor - 344,108
344,Sensor - 345,108
345,Sensor - 346,11379
346,Sensor - 347,11379
347,Sensor - 348,108
348,Sensor - 349,552
349,Sensor - 350,552
350,Sensor - 351,552
351,Sensor - 352,552
352,Sensor - 353,552
353,Sensor - 354,552
354,Sensor - 355,552
355,Sensor - 356,552
356,Sensor - 357,23
357,Sensor - 358,40
358,Sensor - 359,13183
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,1073
363,Sensor - 364,1073
364,Sensor - 365,101
365,Sensor - 366,44
366,Sensor - 367,44
367,Sensor - 368,101
368,Sensor - 369,101
369,Sensor - 370,101
370,Sensor - 371,101
371,Sensor - 372,101
372,Sensor - 373,101
373,Sensor - 374,101
374,Sensor - 375,101
375,Sensor - 376,101
376,Sensor - 377,44
377,Sensor - 378,44
378,Sensor - 379,101
379,Sensor - 380,101
380,Sensor - 381,101
381,Sensor - 382,101
382,Sensor - 383,6081
383,Sensor - 384,6081
384,Sensor - 385,6081
385,Sensor - 386,12048
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,552
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,69
395,Sensor - 396,69
396,Sensor - 397,69
397,Sensor - 398,69
398,Sensor - 399,69
399,Sensor - 400,69
400,Sensor - 401,69
401,Sensor - 402,69
402,Sensor - 403,69
403,Sensor - 404,69
404,Sensor - 405,69
405,Sensor - 406,69
406,Sensor - 407,69
407,Sensor - 408,69
408,Sensor - 409,0
409,Sensor - 410,21
410,Sensor - 411,63
411,Sensor - 412,274
412,Sensor - 413,274
413,Sensor - 414,274
414,Sensor - 415,274
415,Sensor - 416,274
416,Sensor - 417,177
417,Sensor - 418,46
418,Sensor - 419,46
419,Sensor - 420,46
420,Sensor - 421,46
421,Sensor - 422,46
422,Sensor - 423,69
423,Sensor - 424,69
424,Sensor - 425,69
425,Sensor - 426,69
426,Sensor - 427,69
427,Sensor - 428,69
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,19
431,Sensor - 432,19
432,Sensor - 433,19
433,Sensor - 434,19
434,Sensor - 435,19
435,Sensor - 436,19
436,Sensor - 437,19
437,Sensor - 438,19
438,Sensor - 439,19
439,Sensor - 440,19
440,Sensor - 441,19
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,314
450,Sensor - 451,314
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,21
463,Sensor - 464,21
464,Sensor - 465,21
465,Sensor - 466,21
466,Sensor - 467,21
467,Sensor - 468,21
468,Sensor - 469,108
469,Sensor - 470,108
470,Sensor - 471,108
471,Sensor - 472,108
472,Sensor - 473,108
473,Sensor - 474,108
474,Sensor - 475,108
475,Sensor - 476,108
476,Sensor - 477,108
477,Sensor - 478,108
478,Sensor - 479,108
479,Sensor - 480,108
480,Sensor - 481,108
481,Sensor - 482,108
482,Sensor - 483,552
483,Sensor - 484,552
484,Sensor - 485,552
485,Sensor - 486,552
486,Sensor - 487,552
487,Sensor - 488,552
488,Sensor - 489,552
489,Sensor - 490,552
490,Sensor - 491,23
491,Sensor - 492,40
492,Sensor - 493,13183
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,1073
497,Sensor - 498,1073
498,Sensor - 499,101
499,Sensor - 500,44
500,Sensor - 501,44
501,Sensor - 502,101
502,Sensor - 503,101
503,Sensor - 504,101
504,Sensor - 505,101
505,Sensor - 506,101
506,Sensor - 507,101
507,Sensor - 508,101
508,Sensor - 509,101
509,Sensor - 510,101
510,Sensor - 511,44
511,Sensor - 512,44
512,Sensor - 513,101
513,Sensor - 514,101
514,Sensor - 515,101
515,Sensor - 516,101
516,Sensor - 517,6081
517,Sensor - 518,6081
518,Sensor - 519,6081
519,Sensor - 520,12048
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,552
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,69
529,Sensor - 530,69
530,Sensor - 531,69
531,Sensor - 532,69
532,Sensor - 533,69
533,Sensor - 534,69
534,Sensor - 535,69
535,Sensor - 536,69
536,Sensor - 537,69
537,Sensor - 538,69
538,Sensor - 539,69
539,Sensor - 540,69
540,Sensor - 541,69
541,Sensor - 542,69
542,Sensor - 543,38
543,Sensor - 544,38
544,Sensor - 545,38
545,Sensor - 546,38
546,Sensor - 547,1457
547,Sensor - 548,1457
548,Sensor - 549,1457
549,Sensor - 550,1457
550,Sensor - 551,1457
551,Sensor - 552,1457
552,Sensor - 553,1457
553,Sensor - 554,1457
554,Sensor - 555,1457
555,Sensor - 556,1457
556,Sensor - 557,1457
557,Sensor - 558,1457
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,319
563,Sensor - 564,319
564,Sensor - 565,319
565,Sensor - 566,319
566,Sensor - 567,319
567,Sensor - 568,319
568,Sensor - 569,319
569,Sensor - 570,319
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,10737
579,Sensor - 580,10737
580,Sensor - 581,10737
581,Sensor - 582,10737
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
